Order ID,Customer Name,Product Name,Discount,Actual Discount,Sales,Profit,Quantity,Category,Sub-Category,Order Date,City,Country,Region,Segment,Ship Date,Days to Ship,Ship Mode,State
BN-2011-7407039,Ruby Patel,"Enermax Note Cards, Premium",0.5,22.5,45,-26,3,Office Supplies,Paper,01-01-2013,Stockholm,Sweden,North,Home Office,05-01-2013,4,Economy Plus,Stockholm
AZ-2011-9050313,Summer Hayward,"Dania Corner Shelving, Traditional",0,0,854,290,7,Furniture,Bookcases,03-01-2013,Southport,United Kingdom,North,Consumer,07-01-2013,4,Economy,England
AZ-2011-6674300,Devin Huddleston,"Binney & Smith Sketch Pad, Easy-Erase",0,0,140,21,3,Office Supplies,Art,04-01-2013,Valence,France,Central,Consumer,08-01-2013,4,Economy,Auvergne-Rh么ne-Alpes
BN-2011-2819714,Mary Parker,"Boston Markers, Easy-Erase",0.5,13.5,27,-22,2,Office Supplies,Art,04-01-2013,Birmingham,United Kingdom,North,Corporate,09-01-2013,5,Economy,England
BN-2011-2819714,Mary Parker,"Eldon Folders, Single Width",0.5,8.5,17,-1,2,Office Supplies,Storage,04-01-2013,Birmingham,United Kingdom,North,Corporate,09-01-2013,5,Economy,England
AZ-2011-617423,Daniel Burke,"Binney & Smith Pencil Sharpener, Water Color",0,0,90,21,3,Office Supplies,Art,05-01-2013,Echirolles,France,Central,Home Office,07-01-2013,2,Priority,Auvergne-Rh么ne-Alpes
AZ-2011-617423,Daniel Burke,"Sanford Canvas, Fluorescent",0,0,207,77,4,Office Supplies,Art,05-01-2013,Echirolles,France,Central,Home Office,07-01-2013,2,Priority,Auvergne-Rh么ne-Alpes
AZ-2011-2918397,Fredrick Beveridge,"Bush Floating Shelf Set, Pine",0.1,15.5,155,36,1,Furniture,Bookcases,07-01-2013,La Seyne-sur-Mer,France,Central,Corporate,08-01-2013,1,Priority,Provence-Alpes-C么te d'Azur
AZ-2011-2918397,Fredrick Beveridge,"Accos Thumb Tacks, Assorted Sizes",0,0,33,2,3,Office Supplies,Fasteners,07-01-2013,La Seyne-sur-Mer,France,Central,Corporate,08-01-2013,1,Priority,Provence-Alpes-C么te d'Azur
AZ-2011-2918397,Fredrick Beveridge,"Smead Lockers, Industrial",0.1,71.6,716,143,4,Office Supplies,Storage,07-01-2013,La Seyne-sur-Mer,France,Central,Corporate,08-01-2013,1,Priority,Provence-Alpes-C么te d'Azur
BN-2011-3248724,Archer Hort,"Ikea Classic Bookcase, Metal",0.6,592.2,987,-1012,6,Furniture,Bookcases,08-01-2013,Toulouse,France,Central,Consumer,14-01-2013,6,Economy,Languedoc-Roussillon-Midi-Pyr閚閑s
BN-2011-3248724,Archer Hort,"Binney & Smith Sketch Pad, Blue",0.5,58,116,-56,5,Office Supplies,Art,08-01-2013,Toulouse,France,Central,Consumer,14-01-2013,6,Economy,Languedoc-Roussillon-Midi-Pyr閚閑s
AZ-2011-7053593,Gracie Powell,"SAFCO Executive Leather Armchair, Red",0,0,1384,14,3,Furniture,Chairs,11-01-2013,Woking,United Kingdom,North,Consumer,11-01-2013,0,Immediate,England
AZ-2011-7053593,Gracie Powell,"Binney & Smith Canvas, Blue",0,0,103,20,2,Office Supplies,Art,11-01-2013,Woking,United Kingdom,North,Consumer,11-01-2013,0,Immediate,England
AZ-2011-6439906,Summer Hayward,"Bevis Training Table, with Bottom Storage",0.6,160.8,268,-342,2,Furniture,Tables,11-01-2013,Murcia,Spain,South,Consumer,15-01-2013,4,Economy,Murcia
AZ-2011-6439906,Summer Hayward,"Novimex File Folder Labels, Alphabetical",0,0,40,6,5,Office Supplies,Labels,11-01-2013,Murcia,Spain,South,Consumer,15-01-2013,4,Economy,Murcia
AZ-2011-4827146,Faith Greenwood,"Boston Canvas, Fluorescent",0,0,55,10,1,Office Supplies,Art,11-01-2013,Vienna,Austria,Central,Consumer,15-01-2013,4,Economy,Vienna
AZ-2011-4827146,Faith Greenwood,"Smead Trays, Single Width",0,0,97,31,2,Office Supplies,Storage,11-01-2013,Vienna,Austria,Central,Consumer,15-01-2013,4,Economy,Vienna
AZ-2011-6712797,Evie Flockhart,"Ibico Hole Reinforcements, Recycled",0,0,22,7,3,Office Supplies,Binders,11-01-2013,Genoa,Italy,South,Consumer,16-01-2013,5,Economy,Liguria
AZ-2011-2222024,Viola Watson,"Green Bar Note Cards, Multicolor",0.5,17,34,-6,2,Office Supplies,Paper,12-01-2013,Sheffield,United Kingdom,North,Consumer,15-01-2013,3,Priority,England
AZ-2011-9927716,Julia Martell,"Hon Chairmat, Adjustable",0,0,290,70,5,Furniture,Chairs,12-01-2013,Leicester,United Kingdom,North,Home Office,17-01-2013,5,Economy,England
AZ-2011-5702370,Hershel Snyder,"Ikea Stackable Bookrack, Traditional",0.1,55.2,552,165,5,Furniture,Bookcases,12-01-2013,Lohne,Germany,Central,Corporate,19-01-2013,7,Economy,Lower Saxony
